voteId,chamber,date,bill,title,motionText,result,yea,nay,billUrl
S119_1_00001,Senate,2025-01-09,S. 5,Laken Riley Act,On Cloture on the Motion to Proceed,Pass,0,0,https://www.congress.gov/bill/119th-congress/senate-bill/5
S119_1_00002,Senate,2025-01-13,S. 5,Laken Riley Act,On the Motion to Proceed,Pass,0,0,https://www.congress.gov/bill/119th-congress/senate-bill/5
S119_1_00005,Senate,2025-01-17,S. 5,Laken Riley Act,On the Cloture Motion,Pass,0,0,https://www.congress.gov/bill/119th-congress/senate-bill/5
S119_1_00007,Senate,2025-01-20,S. 5,Laken Riley Act,On Passage of the Bill,Pass,0,0,https://www.congress.gov/bill/119th-congress/senate-bill/5
H2025_0019,House,2025-01-21,H.R. 187,MAPWaters Act of 2025,"On Motion to Suspend the Rules and Pass, as Amended",Pass,413,0,https://www.congress.gov/bill/119th-congress/house-bill/187
H2025_0022,House,2025-01-22,H.R. 165,Wounded Knee Massacre Memorial and Sacred Site Act,On Motion to Suspend the Rules and Pass,Pass,416,0,https://www.congress.gov/bill/119th-congress/house-bill/165
H2025_0023,House,2025-01-22,S. 5,Laken Riley Act,On Passage,Pass,263,156,https://www.congress.gov/bill/119th-congress/senate-bill/5
H2025_0028,House,2025-02-04,H.R. 43,Alaska Native Village Municipal Lands Restoration Act of 2025,On Motion to Suspend the Rules and Pass,Pass,412,1,https://www.congress.gov/bill/119th-congress/house-bill/43
S119_1_00091,Senate,2025-02-25,S.J.Res. 11,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Ocean Energy Management relating to ""Protection of Marine Archaeological Resources"".",On the Motion to Proceed,Pass,0,0,https://www.congress.gov/bill/119th-congress/senate-joint-resolution/11
S119_1_00092,Senate,2025-02-25,S.J.Res. 11,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Ocean Energy Management relating to ""Protection of Marine Archaeological Resources"".",On the Joint Resolution,Pass,0,0,https://www.congress.gov/bill/119th-congress/senate-joint-resolution/11
H2025_0051,House,2025-02-26,H.R. 695,Medal of Honor Act,"On Motion to Suspend the Rules and Pass, as Amended",Pass,424,0,https://www.congress.gov/bill/119th-congress/house-bill/695
H2025_0052,House,2025-02-26,H.J.Res. 35,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Waste Emissions Charge for Petroleum and Natural Gas Systems: Procedures for Facilitating Compliance, Including Netting and Exemptions"".",On Passage,Pass,220,206,https://www.congress.gov/bill/119th-congress/house-joint-resolution/35
H2025_0053,House,2025-02-27,H.J.Res. 20,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Energy relating to ""Energy Conservation Program: Energy Conservation Standards for Consumer Gas-fired Instantaneous Water Heaters"".",On Passage,Pass,221,198,https://www.congress.gov/bill/119th-congress/house-joint-resolution/20
S119_1_00097,Senate,2025-02-27,H.J.Res. 35,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Waste Emissions Charge for Petroleum and Natural Gas Systems: Procedures for Facilitating Compliance, Including Netting and Exemptions"".",On the Joint Resolution,Pass,0,0,https://www.congress.gov/bill/119th-congress/house-joint-resolution/35
S119_1_00103,Senate,2025-03-04,S.J.Res. 28,"A joint resolution disapproving the rule submitted by the Bureau of Consumer Financial Protection relating to ""Defining Larger Participants of a Market for General-Use Digital Consumer Payment Applications"".",On the Motion to Proceed,Pass,0,0,https://www.congress.gov/bill/119th-congress/senate-joint-resolution/28
H2025_0058,House,2025-03-05,H.J.Res. 61,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""National Emission Standards for Hazardous Air Pollutants: Rubber Tire Manufacturing"".",On Passage,Pass,216,202,https://www.congress.gov/bill/119th-congress/house-joint-resolution/61
H2025_0059,House,2025-03-05,H.J.Res. 42,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Energy relating to ""Energy Conservation Program for Appliance Standards: Certification Requirements, Labeling Requirements, and Enforcement Provisions for Certain Consumer Products and Commercial Equipment"".",On Passage,Pass,222,203,https://www.congress.gov/bill/119th-congress/house-joint-resolution/42
S119_1_00106,Senate,2025-03-05,S.J.Res. 28,"A joint resolution disapproving the rule submitted by the Bureau of Consumer Financial Protection relating to ""Defining Larger Participants of a Market for General-Use Digital Consumer Payment Applications"".",On the Joint Resolution,Pass,0,0,https://www.congress.gov/bill/119th-congress/senate-joint-resolution/28
H2025_0061,House,2025-03-06,S.J.Res. 11,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Ocean Energy Management relating to ""Protection of Marine Archaeological Resources"".",On Passage,Pass,221,202,https://www.congress.gov/bill/119th-congress/senate-joint-resolution/11
S119_1_00110,Senate,2025-03-06,S. 331,HALT Fentanyl Act,On Cloture on the Motion to Proceed,Pass,0,0,https://www.congress.gov/bill/119th-congress/senate-bill/331
H2025_0069,House,2025-03-11,H.R. 1968,"Full-Year Continuing Appropriations and Extensions Act, 2025",On Motion to Recommit,Fail,213,216,https://www.congress.gov/bill/119th-congress/house-bill/1968
H2025_0070,House,2025-03-11,H.R. 1968,"Full-Year Continuing Appropriations and Extensions Act, 2025",On Passage,Pass,217,213,https://www.congress.gov/bill/119th-congress/house-bill/1968
H2025_0071,House,2025-03-11,H.J.Res. 25,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Internal Revenue Service relating to ""Gross Proceeds Reporting by Brokers That Regularly Provide Services Effectuating Digital Asset Sales"".",On Passage,Pass,292,132,https://www.congress.gov/bill/119th-congress/house-joint-resolution/25
S119_1_00124,Senate,2025-03-13,S. 331,HALT Fentanyl Act,On the Cloture Motion,Pass,0,0,https://www.congress.gov/bill/119th-congress/senate-bill/331
S119_1_00127,Senate,2025-03-14,S. 331,HALT Fentanyl Act,On Passage of the Bill,Pass,0,0,https://www.congress.gov/bill/119th-congress/senate-bill/331
S119_1_00128,Senate,2025-03-14,H.R. 1968,"Full-Year Continuing Appropriations and Extensions Act, 2025",On the Cloture Motion,Pass,0,0,https://www.congress.gov/bill/119th-congress/house-bill/1968
S119_1_00133,Senate,2025-03-14,H.R. 1968,"Full-Year Continuing Appropriations and Extensions Act, 2025",On Passage of the Bill,Pass,0,0,https://www.congress.gov/bill/119th-congress/house-bill/1968
S119_1_00150,Senate,2025-03-26,H.J.Res. 25,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Internal Revenue Service relating to ""Gross Proceeds Reporting by Brokers That Regularly Provide Services Effectuating Digital Asset Sales"".",On the Motion to Proceed,Pass,0,0,https://www.congress.gov/bill/119th-congress/house-joint-resolution/25
S119_1_00151,Senate,2025-03-26,H.J.Res. 25,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Internal Revenue Service relating to ""Gross Proceeds Reporting by Brokers That Regularly Provide Services Effectuating Digital Asset Sales"".",On the Joint Resolution,Pass,0,0,https://www.congress.gov/bill/119th-congress/house-joint-resolution/25
S119_1_00152,Senate,2025-03-26,S.J.Res. 18,"A joint resolution disapproving the rule submitted by the Bureau of Consumer Financial Protection relating to ""Overdraft Lending: Very Large Financial Institutions"".",On the Motion to Proceed,Pass,0,0,https://www.congress.gov/bill/119th-congress/senate-joint-resolution/18
H2025_0077,House,2025-03-27,H.J.Res. 24,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Energy relating to ""Energy Conservation Program: Energy Conservation Standards for Walk-In Coolers and Walk-In Freezers"".",On Passage,Pass,203,182,https://www.congress.gov/bill/119th-congress/house-joint-resolution/24
H2025_0078,House,2025-03-27,H.J.Res. 75,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Office of Energy Efficiency and Renewable Energy, Department of Energy relating to ""Energy Conservation Program: Energy Conservation Standards for Commercial Refrigerators, Freezers, and Refrigerator-Freezers"".",On Passage,Pass,214,193,https://www.congress.gov/bill/119th-congress/house-joint-resolution/75
S119_1_00153,Senate,2025-03-27,S.J.Res. 18,"A joint resolution disapproving the rule submitted by the Bureau of Consumer Financial Protection relating to ""Overdraft Lending: Very Large Financial Institutions"".",On the Joint Resolution,Pass,0,0,https://www.congress.gov/bill/119th-congress/senate-joint-resolution/18
H2025_0084,House,2025-03-31,H.R. 517,Filing Relief for Natural Disasters Act,"On Motion to Suspend the Rules and Pass, as Amended",Pass,388,0,https://www.congress.gov/bill/119th-congress/house-bill/517
H2025_0088,House,2025-04-01,H.R. 1491,Disaster Related Extension of Deadlines Act,"On Motion to Suspend the Rules and Pass, as Amended",Pass,423,0,https://www.congress.gov/bill/119th-congress/house-bill/1491
